id,area_ha,perimeter_m,compactness,width_m,height_m,cause
13,199.9,5998.0,0.6982480560682611,1999.0,1000.0,eau_probable
52,199.9,5998.0,0.6982480560682611,1999.0,1000.0,eau_probable
211,199.8,5998.0,0.6978987573908882,2000.0,999.0,eau_probable
344,0.5036,1264.0,0.03960968946152008,79.0,137.0,indetermine
9,0.3254,886.0,0.05209067304690056,75.0,90.0,indetermine
69,0.2294,602.0,0.07954452541732415,56.0,95.0,indetermine
102,0.0518,224.0,0.12973094663261422,65.0,15.0,indetermine
235,0.0496,380.0,0.04316426471414231,59.0,92.0,indetermine
107,0.0369,198.0,0.1182785112921777,52.0,33.0,indetermine
285,0.0367,242.0,0.07874902696997843,25.0,64.0,indetermine
254,0.0311,230.0,0.0738779066364027,29.0,63.0,indetermine
213,0.0236,142.0,0.14707714069573322,24.0,25.0,indetermine
189,0.0232,118.0,0.20937934376122724,28.0,22.0,indetermine
306,0.0175,134.0,0.12247242467770411,33.0,29.0,indetermine
247,0.0169,112.0,0.16930138981399076,30.0,25.0,indetermine
283,0.0143,98.0,0.18710860035957536,10.0,35.0,indetermine
302,0.0125,74.0,0.2868510457989219,15.0,16.0,indetermine
242,0.0123,120.0,0.10733774899765126,13.0,39.0,indetermine
228,0.0099,70.0,0.2538919777186853,18.0,10.0,indetermine
240,0.0093,58.0,0.34740560854203417,10.0,17.0,indetermine
244,0.0092,64.0,0.28225246497095796,15.0,16.0,indetermine
347,0.0088,74.0,0.20194313624244103,17.0,16.0,indetermine
162,0.0084,76.0,0.1827519272171348,16.0,21.0,indetermine
137,0.0077,58.0,0.28763690169609285,10.0,15.0,indetermine
55,0.0069,62.0,0.22556700634515683,9.0,14.0,indetermine
196,0.0066,50.0,0.33175218421908215,12.0,13.0,indetermine
278,0.0064,52.0,0.29742889028069047,18.0,8.0,indetermine
249,0.0063,54.0,0.2714956614213402,13.0,14.0,indetermine
59,0.0062,62.0,0.2026833970057931,11.0,13.0,indetermine
290,0.0062,66.0,0.17886018780768334,10.0,18.0,indetermine
312,0.0061,56.0,0.24443514269002217,10.0,14.0,indetermine
110,0.0055,38.0,0.47863599985440064,9.0,10.0,indetermine
212,0.005,58.0,0.18677720889356678,9.0,14.0,indetermine
63,0.0049,52.0,0.22771899412115362,9.0,14.0,indetermine
204,0.0047,54.0,0.20254438233020616,13.0,8.0,indetermine
287,0.0047,56.0,0.18833527387591872,15.0,10.0,indetermine
26,0.0046,44.0,0.29858111996927783,15.0,6.0,indetermine
160,0.0043,46.0,0.25536575445058807,6.0,15.0,indetermine
30,0.0042,38.0,0.3655038544342696,9.0,9.0,indetermine
175,0.0041,40.0,0.32201324699295375,11.0,8.0,indetermine
297,0.004,42.0,0.28495171461131913,5.0,16.0,indetermine
245,0.0037,32.0,0.4540583132141498,12.0,4.0,indetermine
243,0.0036,40.0,0.2827433388230814,6.0,13.0,indetermine
184,0.0034,36.0,0.3296733031544845,9.0,8.0,indetermine
15,0.0033,46.0,0.1959783696946374,11.0,7.0,indetermine
252,0.0033,38.0,0.28718159991264036,12.0,4.0,indetermine
261,0.0033,44.0,0.214199499108395,9.0,9.0,indetermine
185,0.0032,30.0,0.4468042885105484,6.0,9.0,indetermine
97,0.0031,36.0,0.3005844822879123,6.0,9.0,indetermine
